year;month;city;country
2016;9;Leiden;Netherlands
2016;9;Freiburg;Germany
2016;9;Hinxton;United Kingdom
2016;9;Milano;Italy
2016;9;Paris;France
2016;9;Davis;USA
2016;8;Saint Lucia;Australia
2016;8;Glasgow;United Kingdom
2016;8;Corvalis ;USA
2016;7;New York;USA
2016;7;New York;USA
2016;7;Glasgow;United Kingdom
2016;6;Glasgow;United Kingdom
2016;6;Davis;USA
2016;6;Melbourne;Australia
2016;6;Montreal;Canada
2016;6;Melbourne;Australia
2016;6;Zagreb;Croatia
2016;5;Jouy en Josas;France
2016;5;Westmead;Australia
2016;5;Paris;France
2016;5;Toulouse;France
2016;5;Rotterdam;Netherlands
2016;5;Paris;France
2016;5;Saint Lucia;Australia
2016;4;Tokyo;Japan
2016;4;Glasgow;United Kingdom
2016;4;Riviera Maya;Mexico
2016;4;Oslo;Norway
2016;4;Heidelberg;Germany
2016;3;Rennes;France
2016;3;Jouy en Josas;France
2016;3;Barcelona;Spain
2016;3;Gif sur Yvette;France
2016;2;Fort Lauderdale;USA
2016;2;Montpellier;France
2016;2;Hinxton;United Kingdom
2016;2;Rennes;France
2016;2;Montpellier;France
2016;1;Freiburg;Germany
2016;1;New York;USA
2016;1;Brisbane;Australia
2016;1;Amsterdam;Netherlands
2016;1;Leuven;Belgium
2016;1;Tempe;USA
2015;12;Newcastle;Australia
2015;11;Carlton;Australia
2015;11;Lyon;France
2015;11;Carlton;Australia
2015;11;San Mateo;USA
2015;11;New York;USA
2015;10;Carlton;Australia
2015;10;Saint Lucia;Australia
2015;10;Carlton;Australia
2015;10;Sherbrooke;Canada
2015;10;Bordeaux;France
2015;10;Carlton;Australia
2015;10;New Dehli;India
2015;9;Leiden;Netherlands
2015;9;Roscoff;France
2015;9;Hyderabad;India
2015;9;Bombay;India
2015;9;Davis;USA
2015;9;Freiburg;Germany
2015;9;Rennes;France
2015;9;Leiden;Netherlands
2015;7;Brisbane;Australia
2015;7;Norwich;United Kingdom
2015;6;Lille;France
2015;6;Sydney ;Australia
2015;6;Angers;France
2015;6;Melbourne;Australia
2015;6;Cambridge;United Kingdom
2015;6;Toronto;Canada
2015;6;Glasgow;United Kingdom
2015;6;Jouy en Josas;France
2015;6;Saint Lucia;Australia
2015;5;Leuven;Belgium
2015;5;Ceske Budejovice;Czech Republic
2015;5;Hershey;USA
2015;5;Hershey;USA
2015;5;Saint Lucia;Australia
2015;5;Davis;USA
2015;5;Jouy en Josas;France
2015;5;Rennes;France
2015;5;New York;USA
2015;4;Tokyo;Japan
2015;4;Wageningen;Netherlands
2015;4;Boston;USA
2015;4;Saint Lucia;Australia
2015;4;Rennes;France
2015;4;Palo Alto;USA
2015;3;Davis;USA
2015;3;Nedlands;Australia
2015;3;Hershey;USA
2015;3;Riga;Latvia
2015;3;La Chapelle sur erdre;France
2015;3;Zagreb;Croatia
2015;3;Saint Lucia;Australia
2015;2;Chicago;USA
2015;2;Sydney ;Australia
2015;2;Freiburg;Germany
2015;2;Rennes;France
2015;2;Sydney ;Australia
2015;2;Montpellier;France
2015;2;Rennes;France
2015;1;Uppsala;Sweden
2015;1;Leuven;Belgium
2015;1;San Diego;USA
2014;12;Davis;USA
2014;12;Petersburg;USA
2014;12;Nantes;France
2014;12;Riverside;USA
2014;12;Sherbrooke;Canada
2014;11;Lyon;France
2014;11;Brisbane;Australia
2014;11;Cagliari;Italy
2014;11;Singapore;Singapore
2014;11;Toulouse;France
2014;11;Munchen;Germany
2014;11;Rennes;France
2014;10;New York;USA
2014;10;Oslo;Norway
2014;10;Oslo;Norway
2014;10;Brisbane;Australia
2014;9;Bern;Swiss
2014;9;Cagliari;Italy
2014;9;Cambridge;United Kingdom
2014;9;Palo Alto;USA
2014;9;Boston;USA
2014;9;Freiburg;Germany
2014;9;Rennes;France
2014;8;Brisbane;Australia
2014;8;Rio de Janeiro;Brasil
2014;8;Washington DC;USA
2014;8;Brisbane;Australia
2014;7;Sao Paulo;Brasil
2014;7;Brisbane;Australia
2014;7;Leiden;Netherlands
2014;6;Roscoff;France
2014;6;Cagliari;Italy
2014;6;Davis;USA
2014;6;Jouy en Josas;France
2014;6;Roscoff;France
2014;6;Toronto;Canada
2014;5;Lyon;France
2014;5;Roscoff;France
2014;5;Bergen;Norway
2014;5;Edinburg;United Kingdom
2014;5;Norwich;United Kingdom
2014;4;Lunteren;Netherlands
2014;4;Paris;France
2014;4;Seattle;USA
2014;4;Melbourne;Australia
2014;3;Melbourne;Australia
2014;3;Georgia;USA
2014;2;Freiburg;Germany
2014;2;Manchester;United Kingdom
2014;2;Lyon;France
2014;2;Marco Island;USA
2014;2;Montpellier;France
2014;2;Calgary;Canada
2014;2;Hinxton;United Kingdom
2014;2;Roscoff;France
2014;1;Roscoff;France
2013;12;Riverside;USA
2013;12;Dar es Salaam;Tanzania
2013;12;Davis;USA
2013;12;Saint Lucia;Australia
2013;11;Saint Lucia;Australia
2013;11;;Japan
2013;11;New York;USA
2013;11;Toulouse;France
2013;11;Westmead;Australia
2013;11;Santa Cruz;USA
2013;11;Saint Lucia;Australia
2013;11;Leiden;Netherlands
2013;10;Cape Town;South Africa
2013;10;Boston;USA
2013;10;Pretoria;South Africa
2013;10;Queensland;Australia
2013;10;Toulouse;France
2013;10;Pula CA;Italy
2013;10;Minneapolis;USA
2013;10;Lyon;France
2013;10;Rochester;USA
2013;10;Sydney ;Australia
2013;9;Lyon;France
2013;9;Davis;USA
2013;7;Carolina;USA
2013;7;Kelvin Grove;Australia
2013;6;Nathan;Australia
2013;6;La Jolla;USA
2013;6;Davis;USA
2013;6;Paris;France
2013;6;Toronto;Canada
2013;5;Davis;USA
2013;5;Toulouse;France
2013;5;Rotterdam;Netherlands
2013;5;Sacramento;USA
2013;5;Jouy en Josas;France
2013;5;Charlotte;USA
2013;5;Pittsburgh;USA
2013;4;Norwich;United Kingdom
2013;4;Boston;USA
